tta_condition,d_condition,tta_or_condition,is_gap_accepted,RT_merge,RT_wait,subj_id
3.0,10.0,3.0,4.228172661637666e-10,1.2924025082888704,1.2903341148020855,all
3.0,10.0,3.5,3.728906739471656e-10,1.2923458693765564,1.2902768743941706,all
3.0,10.0,4.0,3.2884581289879087e-10,1.2922898738574944,1.2902202587783558,all
3.0,10.0,4.5,2.899913420175548e-10,1.2922345113591034,1.2901642578139914,all
3.0,10.0,5.0,2.557169997584821e-10,1.2921797717292387,1.2901088615779845,all
3.0,10.0,5.5,2.2548411602333115e-10,1.2921256450304648,1.2900540603590123,all
3.0,10.0,6.0,1.9881723203860803e-10,1.2920721215344972,1.2899998446519225,all
3.0,10.0,6.5,1.752966990352783e-10,1.2920191917168136,1.2899462051523125,all
3.0,10.0,7.0,1.5455214165263352e-10,1.2919668462514335,1.2898931327512693,all
3.0,20.0,3.0,0.32893611325607736,1.3438462990189968,1.3727230383567437,all
3.0,20.0,3.5,0.3080094106288662,1.3434076186676125,1.3711500545352093,all
3.0,20.0,4.0,0.28784609295834584,1.3429360717944494,1.369562559257264,all
3.0,20.0,4.5,0.26848312898728355,1.342434048614537,1.367964444472313,all
3.0,20.0,5.0,0.24994895875345827,1.3419039175692375,1.366359430497888,all
3.0,20.0,5.5,0.23226381017000097,1.3413480135202862,1.3647510623414678,all
3.0,20.0,6.0,0.21544012240639643,1.3407686273342445,1.3631427063766768,all
3.0,20.0,6.5,0.19948305595545554,1.3401679967826161,1.3615375474425366,all
3.0,20.0,7.0,0.18439106936645755,1.3395482986796787,1.3599385864378368,all
3.0,30.0,3.0,0.994797551274891,1.2902215465015598,1.2938924243393577,all
3.0,30.0,3.5,0.994793354154546,1.2902787247862877,1.2939609199005513,all
3.0,30.0,4.0,0.9947891607534642,1.2903365470665025,1.2940303021897268,all
3.0,30.0,4.5,0.9947849713358908,1.290395024372385,1.294100588516614,all
3.0,30.0,5.0,0.9947807861722002,1.2904541679897374,1.2941717966647859,all
3.0,30.0,5.5,0.9947766055390044,1.2905139894674995,1.2942439449085967,all
3.0,30.0,6.0,0.994772429719227,1.2905745006255407,1.294317052030876,all
3.0,30.0,6.5,0.994768259002204,1.2906357135627304,1.2943911373414299,all
3.0,30.0,7.0,0.9947640936837856,1.2906976406653023,1.2944662206963817,all
3.0,40.0,3.0,0.9954972463950682,1.2851246365161217,1.288516126953785,all
3.0,40.0,3.5,0.995493782292218,1.2851390758753078,1.2885298490109929,all
3.0,40.0,4.0,0.9954903126460966,1.28515359604932,1.2885436760079032,all
3.0,40.0,4.5,0.9954868374482227,1.28516819771969,1.2885576087770205,all
3.0,40.0,5.0,0.9954833566902448,1.2851828815756543,1.2885716481612202,all
3.0,40.0,5.5,0.9954798703638833,1.2851976483142575,1.288585795013899,all
3.0,40.0,6.0,0.9954763784609848,1.2852124986404698,1.2886000501991288,all
3.0,40.0,6.5,0.995472880973448,1.2852274332672953,1.2886144145918221,all
3.0,40.0,7.0,0.9954693778932354,1.2852424529158912,1.288628889077888,all
3.0,50.0,3.0,0.9960356646936351,1.2834079329241044,1.2874247515136394,all
3.0,50.0,3.5,0.9960330299312391,1.28341437980895,1.2874269920167736,all
3.0,50.0,4.0,0.9960303913555536,1.2834208507528087,1.2874292777857355,all
3.0,50.0,4.5,0.9960277489580321,1.2834273458906682,1.2874316089053865,all
3.0,50.0,5.0,0.9960251027300251,1.2834338653585298,1.287433985462392,all
3.0,50.0,5.5,0.9960224526629381,1.283440409293415,1.2874364075452267,all
3.0,50.0,6.0,0.9960197987480899,1.2834469778333786,1.2874388752441857,all
3.0,50.0,6.5,0.9960171409768178,1.283453571117516,1.2874413886513913,all
3.0,50.0,7.0,0.9960144793404136,1.2834601892859754,1.2874439478608017,all
3.5,10.0,3.0,1.6578177250447859e-19,1.3127787859852984,1.3042196793029075,all
3.5,10.0,3.5,1.2605912540970076e-19,1.3126434352101433,1.3040784567494632,all
3.5,10.0,4.0,9.584527467026912e-20,1.3125098003024482,1.3039388572986539,all
3.5,10.0,4.5,7.286617849742496e-20,1.3123778524237872,1.3038008532896832,all
3.5,10.0,5.0,5.539111544867204e-20,1.3122475633728663,1.3036644176831016,all
3.5,10.0,5.5,4.210299734721036e-20,1.3121189055685654,1.303529524043561,all
3.5,10.0,6.0,3.199960784057464e-20,1.311991852033493,1.3033961465231345,all
3.5,10.0,6.5,2.4318399113637057e-20,1.3118663763780558,1.3032642598451865,all
3.5,10.0,7.0,1.847923272796959e-20,1.3117424527850023,1.3031338392887644,all
3.5,20.0,3.0,0.35169666685395307,1.4206673128804448,1.5627386686932092,all
3.5,20.0,3.5,0.3208616382761607,1.420348330823946,1.557073547536355,all
3.5,20.0,4.0,0.29141091053048285,1.4199271435230665,1.551399261179327,all
3.5,20.0,4.5,0.26347600019307094,1.419410009157926,1.5457222309762542,all
3.5,20.0,5.0,0.2371570720511844,1.4188031318473877,1.5400492420005107,all
3.5,20.0,5.5,0.21252343052282882,1.4181126189730575,1.5343874135730737,all
3.5,20.0,6.0,0.18961485636695766,1.4173444466809033,1.5287441586933563,all
3.5,20.0,6.5,0.1684436469150864,1.4165044325260983,1.5231271325580085,all
3.5,20.0,7.0,0.14899720487502285,1.41559821428761,1.5175441707843944,all
3.5,30.0,3.0,0.9898821232427768,1.3008752850839957,1.3170003835594906,all
3.5,30.0,3.5,0.9898708169379271,1.300983163572891,1.3171436554090674,all
3.5,30.0,4.0,0.9898594863614506,1.3010921711291907,1.3172889320306032,all
3.5,30.0,4.5,0.989848131654907,1.3012023257757257,1.3174362529281207,all
3.5,30.0,5.0,0.9898367529682437,1.3013136459256207,1.317585658728578,all
3.5,30.0,5.5,0.9898253504600998,1.3014261503930542,1.3177371912238909,all
3.5,30.0,6.0,0.9898139242979892,1.3015398584043727,1.317890893414945,all
3.5,30.0,6.5,0.9898024746586761,1.3016547896095858,1.3180468095577031,all
3.5,30.0,7.0,0.9897910017284712,1.3017709640942519,1.3182049852115467,all
3.5,40.0,3.0,0.9915183626758819,1.290904350151885,1.3077853059954558,all
3.5,40.0,3.5,0.9915109207752415,1.2909336942502931,1.3078016542821485,all
3.5,40.0,4.0,0.9915034628435362,1.2909631962925803,1.3078182887577412,all
3.5,40.0,4.5,0.991495988819963,1.2909928575615857,1.307835211143241,all
3.5,40.0,5.0,0.9914884986435417,1.2910226793541304,1.3078524231848312,all
3.5,40.0,5.5,0.9914809922527356,1.2910526629812074,1.3078699266542215,all
3.5,40.0,6.0,0.9914734695860268,1.29108280976818,1.3078877233490132,all
3.5,40.0,6.5,0.9914659305814204,1.2911131210549758,1.3079058150930694,all
3.5,40.0,7.0,0.9914583751766382,1.2911435981962904,1.3079242037368883,all
3.5,50.0,3.0,0.992635263847495,1.2873711501598144,1.3098689120572489,all
3.5,50.0,3.5,0.9926299367413437,1.2873846027444185,1.3098443735527896,all
3.5,50.0,4.0,0.9926246007867046,1.2873981042020062,1.3098200605782695,all
3.5,50.0,4.5,0.9926192559576077,1.2874116547997767,1.3097959726538884,all
3.5,50.0,5.0,0.9926139022278926,1.2874252548068843,1.3097721093092878,all
3.5,50.0,5.5,0.9926085395713792,1.287438904494457,1.3097484700835191,all
3.5,50.0,6.0,0.992603167961675,1.2874526041356111,1.3097250545250145,all
3.5,50.0,6.5,0.9925977873722933,1.2874663540054754,1.309701862191558,all
3.5,50.0,7.0,0.9925923977766907,1.2874801543812049,1.3096788926502594,all
4.0,10.0,3.0,4.7155697709928793e-32,1.346287393202882,1.3275472290793526,all
4.0,10.0,3.5,2.870892726672424e-32,1.346016144111125,1.3272530098063469,all
4.0,10.0,4.0,1.747497504497015e-32,1.3457486052236103,1.3269623642418718,all
4.0,10.0,4.5,1.0634895475760071e-32,1.3454847123967764,1.3266752283652417,all
4.0,10.0,5.0,6.470937227218638e-33,1.3452244029287186,1.3263915396593755,all
4.0,10.0,5.5,3.936576256438326e-33,1.3449676155210213,1.3261112370673984,all
4.0,10.0,6.0,2.3943513375204876e-33,1.344714290241726,1.325834260950725,all
4.0,10.0,6.5,1.4560456935913928e-33,1.3444643684894002,1.3255605530485617,all
4.0,10.0,7.0,8.852791299838864e-34,1.344217792958264,1.3252900564387664,all
4.0,20.0,3.0,0.46737865428969805,1.509003006784388,1.8151379371261875,all
4.0,20.0,3.5,0.42594829080451113,1.5099267172752797,1.8072808405851617,all
4.0,20.0,4.0,0.3854554979495564,1.5106310129971772,1.7993184837013387,all
4.0,20.0,4.5,0.34631694428886206,1.511125195566837,1.7912514751377124,all
4.0,20.0,5.0,0.30889956615579484,1.511419124996688,1.783081621261691,all
4.0,20.0,5.5,0.27351144492461754,1.5115230100016503,1.7748120737606057,all
4.0,20.0,6.0,0.2403959106643635,1.5114472320596228,1.766447460785241,all
4.0,20.0,6.5,0.20972892325789427,1.5112022006023862,1.7579939929349946,all
4.0,20.0,7.0,0.18161956464709228,1.5107982361675918,1.7494595351679194,all
4.0,30.0,3.0,0.9867715737096364,1.3158383257982078,1.3604199480031036,all
4.0,30.0,3.5,0.9867574715795523,1.3160117823390112,1.3606894594280932,all
