tta_condition,d_condition,tta_or_condition,is_gap_accepted,RT_merge,RT_wait,subj_id
3.0,10.0,3.0,0.18694625565220513,1.1979459512315773,1.2070929523839364,all
3.0,10.0,3.5,0.16866890690699152,1.1940490348963668,1.2021282880160977,all
3.0,10.0,4.0,0.15181283637808407,1.1900436844750297,1.1971190713373365,all
3.0,10.0,4.5,0.13633370773700879,1.1859584186123482,1.192095560126231,all
3.0,10.0,5.0,0.12217555636224842,1.1818198355132725,1.187085013741765,all
3.0,10.0,5.5,0.1092733412967281,1.1776503263350222,1.1821090691034342,all
3.0,10.0,6.0,0.09755650830710669,1.1734762964787873,1.1771939397623823,all
3.0,10.0,6.5,0.0869495693103081,1.1693134704095725,1.1723527045112698,all
3.0,10.0,7.0,0.07737598682235548,1.1651838534982522,1.1676056928846852,all
3.0,20.0,3.0,0.2523742132054656,1.2067978490983737,1.2224422447247942,all
3.0,20.0,3.5,0.22969756036687705,1.2034765854996974,1.217770440058999,all
3.0,20.0,4.0,0.20846553509194474,1.1999586740136472,1.2129502707742899,all
3.0,20.0,4.5,0.1886873416897259,1.196277023669119,1.2080223271803423,all
3.0,20.0,5.0,0.17035167227724482,1.1924618795781294,1.203021823381691,all
3.0,20.0,5.5,0.153429886718571,1.1885421362250048,1.197981257871394,all
3.0,20.0,6.0,0.13787891415053255,1.1845450534714452,1.1929302163152413,all
3.0,20.0,6.5,0.12364412205925349,1.1804960202614974,1.1878952782327077,all
3.0,20.0,7.0,0.11066182932431286,1.1764165065340675,1.1828974402124874,all
3.0,30.0,3.0,0.33055484509105687,1.2133126441797082,1.2364330463505129,all
3.0,30.0,3.5,0.3038334423731762,1.2108004626009699,1.2323687060931134,all
3.0,30.0,4.0,0.27837642983139915,1.2080089746642795,1.228043093830263,all
3.0,30.0,4.5,0.25426593848954954,1.2049684884529168,1.2234982885551007,all
3.0,30.0,5.0,0.23155789399533533,1.2017080961231092,1.2187721712058126,all
3.0,30.0,5.5,0.2102848847075725,1.1982615445381304,1.2139099501296733,all
3.0,30.0,6.0,0.190455773221115,1.1946555767395806,1.2089427129237302,all
3.0,30.0,6.5,0.17206057115182868,1.1909207641344508,1.2039079546579496,all
3.0,30.0,7.0,0.15507180873979834,1.1870847518116245,1.198837441563932,all
3.0,40.0,3.0,0.4189786934100902,1.216922865030096,1.2481179472721178,all
3.0,40.0,3.5,0.38924900501209614,1.2154222438523097,1.2450018886897478,all
3.0,40.0,4.0,0.36037201032383115,1.2135711443532133,1.241504832157279,all
3.0,40.0,4.5,0.332506108158829,1.2113933883286698,1.2376654840335424,all
3.0,40.0,5.0,0.3057857565164273,1.2089175070345333,1.233529996700237,all
3.0,40.0,5.5,0.28031898594782034,1.2061720653243098,1.22914091712824,all
3.0,40.0,6.0,0.25618765072938454,1.203186404497385,1.2245399579496863,all
3.0,40.0,6.5,0.23344781819297364,1.1999887040972268,1.2197645020571308,all
3.0,40.0,7.0,0.21213218524433614,1.1966097687823445,1.214856222646936,all
3.0,50.0,3.0,0.5131727947650636,1.2172300242792629,1.256561982195252,all
3.0,50.0,3.5,0.48209145604489595,1.216877606668529,1.2547166382582233,all
3.0,50.0,4.0,0.451261459722087,1.2161266980281296,1.252376891180265,all
3.0,50.0,4.5,0.42089710395610797,1.2149944379345703,1.249583301518456,all
3.0,50.0,5.0,0.3911972727758132,1.2135002746353742,1.2463750941857878,all
3.0,50.0,5.5,0.36234136478151174,1.2116653395828707,1.2427899045343223,all
3.0,50.0,6.0,0.3344877250618905,1.2095169531368877,1.2388773047991124,all
3.0,50.0,6.5,0.3077686107388736,1.2070790920721985,1.2346729084587482,all
3.0,50.0,7.0,0.2822918647762522,1.2043807750032356,1.2302225796079849,all
