Time_gap_onramp,Distance_gap_upcoming_vehicle,Time_gap_upcoming_vehicle,Is_gap_accepted,Response_time,Participant_no,Dwell_to_mirror
4,20,4,1,594,20,0.909090909090909
4,20,4,1,670,20,1
4,20,4,1,948,20,0.666666666666667
4,20,4,1,379,20,1
4,20,4,1,1115,20,0.681818181818182
4,20,4,1,465,20,1
4,20,4,1,315,20,1
4,20,4,1,265,20,1
4,20,4,1,338,20,1
4,20,4,1,1815,21,0.611111111111111
4,20,4,1,1065,22,0.761904761904762
4,20,4,1,1967,22,0.58974358974359
4,20,4,1,2592,22,0.588235294117647
4,20,4,1,1638,22,0.6875
4,20,4,1,1714,22,0.735294117647059
4,20,4,1,1514,22,0.5
4,20,4,1,1464,22,0.448275862068966
4,20,4,1,1118,22,0.636363636363636
4,20,4,1,2329,22,0.543478260869565
4,20,4,1,1370,22,0.666666666666667
4,20,4,1,1150,22,0.608695652173913
4,20,4,1,1795,22,0.485714285714286
4,20,4,1,1366,22,0.666666666666667
4,20,4,1,1088,22,0.619047619047619
4,20,4,1,1148,23,0.727272727272727
4,20,4,1,1298,23,0.84
4,20,4,1,865,23,0.764705882352941
4,20,4,1,899,23,0.647058823529412
4,20,4,1,768,23,0.933333333333333
4,20,4,1,740,23,0.714285714285714
4,20,4,1,822,23,0.75
4,20,4,1,965,23,0.789473684210526
4,20,4,1,844,23,0.625
4,20,4,1,908,23,0.722222222222222
4,20,4,1,843,23,0.8125
4,20,4,1,527,23,0.7
4,20,4,1,565,23,0.818181818181818
4,20,4,1,665,23,0.769230769230769
4,20,4,1,693,23,0.769230769230769
4,20,4,1,741,23,0.785714285714286
4,20,4,1,1181,23,0.608695652173913
4,20,4,1,669,23,0.846153846153846
4,20,4,1,781,23,0.733333333333333
4,20,4,1,675,23,0.846153846153846
4,20,4,1,1864,24,0.513513513513513
4,20,4,1,1386,24,0.62962962962963
4,20,4,1,1242,24,0.625
4,20,4,1,1073,24,0.80952380952381
4,20,4,1,1415,25,0.75
4,20,4,1,2381,25,0.723404255319149
4,20,4,1,2415,25,0.770833333333333
4,20,4,1,1512,25,0.7
4,20,4,1,1215,25,1
4,20,4,1,1310,25,0.653846153846154
4,20,4,1,2064,25,0.804878048780488
4,20,4,1,2089,25,0.609756097560976
4,20,4,1,1504,25,0.566666666666667
4,20,4,1,1914,25,0.526315789473684
4,20,4,1,1183,26,0.826086956521739
4,20,4,1,2167,26,0.441860465116279
4,20,4,1,1765,26,0.514285714285714
4,20,4,1,1150,26,0.652173913043478
4,20,4,1,1402,26,0.5
4,20,4,1,1301,26,0.538461538461538
4,20,4,1,1081,26,0.761904761904762
4,20,4,1,1565,26,0.580645161290323
4,20,4,1,973,26,0.526315789473684
4,20,4,0,1293,3,0.68
4,20,4,0,1549,3,0.666666666666667
4,20,4,0,1900,3,0.526315789473684
4,20,4,0,1499,3,0.793103448275862
4,20,4,0,1588,3,0.516129032258065
4,20,4,0,1347,3,0.653846153846154
4,20,4,0,1893,3,0.72972972972973
4,20,4,0,1897,3,0.540540540540541
4,20,4,0,2207,3,0.772727272727273
4,20,4,0,1426,3,0.607142857142857
4,20,4,0,1372,3,0.62962962962963
4,20,4,0,1612,4,0.8125
4,20,4,0,1453,4,0.689655172413793
4,20,4,0,1221,4,0.708333333333333
4,20,4,0,1244,4,0.833333333333333
4,20,4,0,1350,4,0.703703703703704
4,20,4,0,1998,4,0.666666666666667
4,20,4,0,2014,4,0.725
4,20,4,0,1274,4,0.52
4,20,4,0,2365,4,0.553191489361702
4,20,4,0,1875,4,0.405405405405405
4,20,4,0,2027,4,0.65
4,20,4,0,1754,4,0.571428571428571
4,20,4,0,1625,4,0.4375
4,20,4,0,1540,4,0.5
4,20,4,0,1913,4,0.578947368421053
4,20,4,0,1448,4,0.571428571428571
4,20,4,0,1417,5,0.857142857142857
4,20,4,0,1167,5,0.826086956521739
4,20,4,0,1546,5,0.566666666666667
4,20,4,0,1134,5,1
4,20,4,0,1708,5,1
4,20,4,0,1642,5,1
4,20,4,0,1422,5,0.821428571428571
4,20,4,0,1384,5,0.888888888888889
4,20,4,0,1558,5,0.645161290322581
4,20,4,0,1260,5,0.96
4,20,4,0,1370,5,0.888888888888889
