tta_or_condition,d_condition,tta_condition,is_gap_accepted,RT,subj_id,dwell_time,decision
4,20,4,True,1.215,11,0.75,Merge
4,20,4,True,1.274,11,0.48,Merge
4,20,4,True,2.064,11,0.439024390243902,Merge
4,20,4,True,0.946,11,0.833333333333333,Merge
4,20,4,True,0.923,11,0.611111111111111,Merge
4,20,4,True,1.471,11,0.482758620689655,Merge
4,20,4,True,1.514,11,0.666666666666667,Merge
4,20,4,True,1.285,11,0.76,Merge
4,20,4,True,1.482,11,0.655172413793103,Merge
4,20,4,True,1.331,11,0.692307692307692,Merge
4,20,4,True,1.376,11,0.703703703703704,Merge
4,20,4,True,1.315,12,0.461538461538462,Merge
4,20,4,True,1.635,12,0.53125,Merge
4,20,4,True,1.183,13,0.782608695652174,Merge
4,20,4,True,1.177,13,0.521739130434783,Merge
4,20,4,True,1.595,13,0.645161290322581,Merge
4,20,4,True,1.681,13,0.606060606060606,Merge
4,20,4,True,1.516,13,0.566666666666667,Merge
4,20,4,True,1.114,13,0.636363636363636,Merge
4,20,4,True,1.165,13,0.478260869565217,Merge
4,20,4,True,1.087,13,0.80952380952381,Merge
4,20,4,True,1.478,13,0.517241379310345,Merge
4,20,4,True,1.271,13,0.56,Merge
4,20,4,True,1.165,13,0.478260869565217,Merge
4,20,4,True,0.989,13,0.473684210526316,Merge
4,20,4,True,1.514,13,0.6,Merge
4,20,4,True,0.931,13,0.666666666666667,Merge
4,20,4,True,1.314,13,0.5,Merge
4,20,4,True,0.893,13,0.529411764705882,Merge
4,20,4,True,1.729,14,0.441176470588235,Merge
4,20,4,True,1.372,14,0.592592592592593,Merge
4,20,4,True,1.989,14,0.487179487179487,Merge
4,20,4,True,2.165,14,0.790697674418605,Merge
4,20,4,True,1.714,14,0.470588235294118,Merge
4,20,4,True,2.346,14,0.521739130434783,Merge
4,20,4,True,2.388,14,0.361702127659574,Merge
4,20,4,True,2.017,14,0.45,Merge
4,20,4,True,2.039,14,0.6,Merge
4,20,4,True,1.775,14,0.542857142857143,Merge
4,20,4,True,1.765,14,0.485714285714286,Merge
4,20,4,True,2.415,14,0.645833333333333,Merge
4,20,4,True,1.898,14,0.567567567567568,Merge
4,20,4,True,2.382,14,0.638297872340426,Merge
4,20,4,True,1.815,15,1.0,Merge
4,20,4,True,1.745,15,0.676470588235294,Merge
4,20,4,True,1.422,15,1.0,Merge
4,20,4,True,0.898,15,0.529411764705882,Merge
4,20,4,True,1.664,15,0.666666666666667,Merge
4,20,4,True,1.85,15,0.783783783783784,Merge
4,20,4,True,2.193,15,0.511627906976744,Merge
4,20,4,True,0.915,15,0.888888888888889,Merge
4,20,4,True,0.816,15,1.0,Merge
4,20,4,True,1.016,15,0.85,Merge
4,20,4,True,1.677,15,0.575757575757576,Merge
4,20,4,True,1.417,15,0.428571428571429,Merge
4,20,4,True,0.929,16,0.666666666666667,Merge
4,20,4,True,1.388,16,0.740740740740741,Merge
4,20,4,True,1.181,16,0.608695652173913,Merge
4,20,4,True,1.565,16,0.516129032258065,Merge
4,20,4,True,2.879,17,0.491228070175439,Merge
4,20,4,True,3.372,17,0.611940298507463,Merge
4,20,4,True,0.864,17,0.764705882352941,Merge
4,20,4,True,1.495,18,0.551724137931034,Merge
4,20,4,True,2.333,18,0.304347826086957,Merge
4,20,4,True,2.091,18,0.341463414634146,Merge
4,20,4,True,1.77,18,0.457142857142857,Merge
4,20,4,True,2.064,18,0.365853658536585,Merge
4,20,4,True,2.868,18,0.403508771929825,Merge
4,20,4,True,2.517,18,0.38,Merge
4,20,4,True,0.868,18,0.529411764705882,Merge
4,20,4,True,1.328,18,0.269230769230769,Merge
4,20,4,True,2.193,18,0.395348837209302,Merge
4,20,4,True,2.367,18,0.234042553191489,Merge
4,20,4,True,2.169,18,0.348837209302326,Merge
4,20,4,True,2.515,18,0.3,Merge
4,20,4,True,1.773,18,0.371428571428571,Merge
4,20,4,True,1.193,18,0.347826086956522,Merge
4,20,4,True,1.821,18,0.388888888888889,Merge
4,20,4,True,1.365,18,0.37037037037037,Merge
4,20,4,True,1.908,18,0.421052631578947,Merge
4,20,4,True,2.365,18,0.382978723404255,Merge
4,20,4,True,1.475,18,0.379310344827586,Merge
4,20,4,True,1.225,18,0.416666666666667,Merge
4,20,4,True,1.889,18,0.216216216216216,Merge
4,20,4,True,1.915,18,0.368421052631579,Merge
4,20,4,True,0.985,18,0.315789473684211,Merge
4,20,4,True,2.215,18,0.431818181818182,Merge
4,20,4,True,0.685,20,0.769230769230769,Merge
4,20,4,True,1.116,20,0.590909090909091,Merge
4,20,4,True,1.376,20,0.518518518518518,Merge
4,20,4,True,1.565,20,0.580645161290323,Merge
4,20,4,True,1.165,20,1.0,Merge
4,20,4,True,1.491,20,0.931034482758621,Merge
4,20,4,True,0.617,20,1.0,Merge
4,20,4,True,1.221,20,0.583333333333333,Merge
4,20,4,True,0.67,20,0.769230769230769,Merge
4,20,4,True,0.783,20,0.866666666666667,Merge
